ProteinID	Control5
Q6BJL7	4192673
Q6BJM2	154608.375
Q6BJM4	267766.875
Q6BJM5	35322.80469
Q6BJN0	76883.25
Q6BJN1	25914.91406
Q6BJN8	52992.21875
Q6BJN9	1905933.125
Q6BJP1	195445.8438
Q6BJP7	170900.3594
Q6BJP8	35722.35156
Q6BJQ1	49613.10156
Q6BJQ3	515458.7188
Q6BJQ6	57207.57813
Q6BJQ8	71121.375
Q6BJQ9	322711.4688
Q6BJR2	85161.98438
Q6BJU2	45865.20313
Q6BJU8	11912.04297
Q6BJV6	27736.2168
Q6BJW9	70860.32813
Q6BJX1	18759.24609
Q6BJX3	20634.47461
